t_rel_s,d2
9.1341,0
9.1647,0
9.1850,0
9.2083,0
9.2248,0
9.2483,0
9.2647,0
9.2754,0
9.3047,0
9.3151,0
9.3447,0
9.3560,0
9.3849,0
9.4049,0
9.4142,0
9.4350,0
9.4541,0
9.4850,0
9.4952,0
9.5285,0
9.5351,0
9.5683,0
9.5850,0
9.6082,0
9.6248,0
9.6342,0
9.6647,0
9.6750,0
9.7059,0
9.7248,0
9.7444,0
9.7564,0
9.7742,0
9.8048,0
9.8151,0
9.8445,0
9.8551,0
9.8850,0
9.8949,0
9.9285,0
9.9350,0
9.9542,0
9.9848,0
9.9941,0
10.0288,0
10.0351,0
10.0645,0
10.0849,0
10.1041,0
10.1142,0
10.1446,0
10.1551,0
10.1849,0
10.1950,0
10.2287,0
10.2349,0
10.2683,0
10.2850,0
10.2942,0
10.3247,0
10.3341,0
10.3646,0
10.3848,0
10.4058,0
10.4247,0
10.4484,0
10.4646,0
10.4741,0
10.5047,0
10.5151,0
10.5444,0
10.5549,0
10.5848,0
10.6048,0
10.6143,0
10.6349,0
10.6542,0
10.6849,0
10.6941,0
10.7286,0
10.7350,0
10.7685,0
10.7847,0
10.8083,0
10.8248,0
10.8342,0
10.8644,0
10.8750,0
10.9059,0
10.9248,0
10.9444,0
10.9564,0
10.9742,0
11.0046,0
11.0141,0
11.0445,0
11.0551,0
11.0847,0
11.0949,0
11.1287,0
11.1350,0
11.1514,0
11.1848,0
11.1942,0
11.2288,0
11.2341,0
11.2645,0
11.2848,0
11.3057,0
11.3246,0
11.3485,0
11.3644,0
11.3745,0
11.4047,0
11.4150,0
11.4446,0
11.4548,0
11.4848,0
11.5047,0
11.5142,0
11.5349,0
11.5541,0
11.5849,0
11.5951,0
11.6286,0
11.6349,0
11.6691,0
11.6849,0
11.7084,0
11.7247,0
11.7342,0
11.7643,0
11.7749,0
11.8059,0
11.8247,0
11.8443,0
11.8564,0
11.8742,0
11.9047,0
11.9141,0
11.9444,0
11.9550,0
11.9849,0
11.9948,0
12.0287,0
12.0349,0
12.0543,0
12.0847,0
12.0942,0
12.1148,0
12.1444,0
12.1565,0
12.1743,0
12.2046,0
12.2135,0
12.2445,0
12.2550,0
12.2847,0
12.2949,0
12.3288,0
12.3348,0
12.3685,0
12.3850,0
12.3943,0
12.4246,0
12.4342,0
12.4645,0
